Company Name,Company Event URL,Location,Company Description,Booth Number,Booth Schedule,Creation,Employees,Industry Type,City,Fundraising Amount,Official Website,Development Level,Looking For,Type of Company(Startup or Not),HashTags,LinkedIN,Instagram
agnavi,https://vivatechnology.com/partners/agnavi,Japan,"A Newly Started 180 mL Canned SAKE Brand in Japan
- Globally distribute ICHI GO CAN, a Japanese brand of canned SAKEs (rice based alcoholic beverages)
- Enable people to enjoy various SAKE breweries across Japan via ICHI GO CAN
- Easier to transport due to its size, weight and material, as well as its environmental friendly nature, reducing 70% of CO2 emission.",Booth D39-002,(Thu),,,Food,Yokohama,,https://agnavi.co.jp/services_sake_en.php,Growth \u0026 Scale,"['""Funding""']",startup,Food & Agriculture,,
brainbox-ai,https://vivatechnology.com/partners/brainbox-ai,Canada,"Small and medium sized buildings make up a significant part of the commercial building stock which accounts for nearly half of global energy usage. HVAC systems in buildings are responsible for 40% of this energy consumption, yet 30% is wasted due to inefficient operations. BrainBox AI’s autonomous decarbonisation solution measures, models, learns, and continuously optimises your HVAC systems to reduce your retail footprint’s operational emissions. In terms of scale, BrainBox AI has impacted more than 13,000 commercial buildings in over 20 countries. BrainBox AI brings extensive value to our clients with: up to 40% reduction in carbon emissions; up to 15% reduction in store OPEX/utility/maintenance costs; up to 60% improvement in customer comfort and dwell time; and up to 50% extension of equipment service life",Booth S12-038,"(Wed, Fri)",2017,100,Energy,Montréal,,,Growth \u0026 Scale,"['""Funding', 'Talents""']",startup,"Artificial Intelligence, Climate Tech, Energy",https://www.linkedin.com/company/brainboxai/,@brainboxai
assetaide,https://vivatechnology.com/partners/assetaide,Germany,"AssetAide is a German Tech Startup that aims to revolutionize the way brands design and implement their advertising strategies. By combining AI technology with human expertise, the company enables its clients to create scalable and personalized advertising solutions that meet today's dynamic market conditions. AssetAide provides full security and compliance, by hosting all customer data in secure data centers in Germany, ensuring compliance with data protection regulations. Furthermore, AssetAide prioritizes top-notch IT security and is fully GDPR-compliant, safeguarding customer privacy and data protection. The core team behind AssetAide consists of four seasoned professionals with extensive experience and expertise in marketing, sales, process optimization, business growth, and software development. With backgrounds in leading industry firms, they bring a wealth of insights and innovative strategies to AssetAide's approach.",Booth D15-039,(Fri),2024,1-5,Software Development/Cloud services,Potsdam,,,Conception stage,"['""Funding""']",startup,"Artificial Intelligence, Marketing & Advertising, Cybersecurity",https://www.linkedin.com/company/assetaide/,
howcow,https://vivatechnology.com/partners/howcow,Ukraine,"HOWCOW is a hardware device and CRM system complex for farms, that increases milk yields and optimizes farm work by detecting the fertilization period, detecting diseases, and monitoring cow behavior in real-time. The system includes a neck sensor for data collection, the data is analyzed by AI and mathematical algorithms to achieve 90% accuracy in predicting the ovulation window, which increases +26% annual productivity. The system also identifies behavioral changes indicating cow discomfort or potential risks. This is crucial for profitability as it improves fertility detection efficiency, reduces labor costs, and enhances product quality",Booth D01-008,"(Wed, Thu, Fri, Sat)",2023,5-15,Other,Rivne,50000,,Going to market,"['""Talents', 'Funding""']",startup,"Food & Agriculture, Artificial Intelligence, DeepTech",https://www.linkedin.com/company/howcow,https://www.instagram.com/howcow.app/
spotium-gmbh,https://vivatechnology.com/partners/spotium-gmbh,Germany,"Spotium is the most specific market and sales intelligence software for the machinery industry and its supplier. 
We empower our costumers to identify the best sales opportunities without doing reasearch. Our AI-based software offers granular traget lists, tailored project opportunites and market data to channel the sales reps to the right spots. By combining plenty of different data source, we discover hidden relationships among companies, competitiors and customers. Spotium - Search less. Sell more.",Booth D15-041,(Wed),2023,5-15,Industry,Karlsruhe,,https://spotium.de/en,Growth \u0026 Scale,"['""Talents', 'Funding""']",startup,"Artificial Intelligence, Data Management & CRM, Industry, Logistics & Supply Chain",https://www.linkedin.com/in/lisa-raab-40a335172/,
mycosmetik,https://vivatechnology.com/partners/mycosmetik,France,"MyCosmetik offers a complete hardware and software solution to make personalized natural cosmetics at home. 
Simply select a recipe, pour in the ingredients, and press start; our automated device then creates automatically your customized skincare, haircare or make-up product.
Our free mobile app provides guidance and safety indications, as well as a wide selection of highly effective natural cosmetic ingredients, and a forum to exchange with the MyCosmetik community.",Booth D37-018,"(Fri, Sat)",,,Luxury/Fashion/Beauty,Chartres,,https://www.mycosmetik.fr/,Growth \u0026 Scale,"['""Funding""']",startup,"Luxury, Fashion & Cosmetics, Healthcare & Wellness",https://www.linkedin.com/company/beautymix/mycompany/,@mycosmetik
windlair,https://vivatechnology.com/partners/windlair,France,"Windlair is a french startup which develops and builds an ultra-safe cargo drone for its customers in the Energy, Transport, Industry, Civil Security and Defense sectors operating daily value-added logistics missions in offshore in rural zones or isolated and hard to reach areas. As deeptech Windlair is supported by industrial aerospace Corporates the French Aerospace Lab ONERA and SATT Paris-Saclay.
The solution developed by Windlair includes a pool of innovations and patents, including a hybrid electric propulsion architecture combining unique multi-rotor technology with a foldable fixed wing with high-performance aerodynamic characteristics. This cutting-edge design  allows the cargo drone to have a very high range (400km) and payload (150kg). Windlair drone offers a serie of competitive advantages whether on a technical (autonomy-speeds-flight altitude)  economical (direct op. cost) or environmental  level (low carbon impact).
#eVTOLcargo #defense #airmobility #deeptech",Booth B56-001,(Thu),2022,5-15,Mobility/Transportation,Blagnac,,,Going to market,"['""Talents', 'Funding""']",startup,"Space & Aeronautics, Robotics, DeepTech",https://www.linkedin.com/company/windlair/,
la-vitre,https://vivatechnology.com/partners/la-vitre,France,"Today, the means of communication are multiple and within everyone's reach.

Being able to communicate is obvious.

With la Vitre, feel the presence!

Based on a human-sized screen, la Vitre connects places of all kinds, offering the ability to find each other, to see each other at first hand, to talk to each other and to exchange everyday tools naturally.

This means being able to share images, videos, PDFs, 3D models, as well as your different devices such as your phone, your tablet, your computer or your augmented reality headset.

A conversation through la Vitre must be considered as a physical exchange, from a simplicity point of view as well as confidentiality and security of information.

For this reason, communications between Vitres are made through a peer-to-peer channel based on WebRTC technology (DTLS and SRTP), established between each Vitre, allowing end-to-end data encryption.

All the data exchanged (camera and microphone streams and shares such as images, PDFs, 3D obje",hall1 Booth F57-002,"(Wed, Thu, Fri, Sat)",2019,5-15,Software Development/Cloud services,Saint-Herblain,,,Growth \u0026 Scale,"['""None""']",startup,"Artificial Intelligence, Luxury, Fashion & Cosmetics, Retail & E-commerce",https://www.linkedin.com/company/lavitre/,
beeway-lmi,https://vivatechnology.com/partners/beeway-lmi,France,"Beeway is a commercial electric vehicle powered by battery and hydrogen. Built as a chassis cab, Beeway can be equipped with a wide range of equipment complying with professional requirements.
Beeway can be fitted with 4 sizes of batteries depending on your range requirements. So, it can be adjusted to your needs, no point to pay and waste energy to carry extra batteries which are useless to your business. However, should your  require more vehicle range, battery module can be extended or convert to hydrogen.
Beeway is durable. Its bolted chassis allows repair further a traffic incident. Should a battery be damaged, it can be replaced. In addition, battery can be renewed further aging or upgraded with new technologies available by then.
Beeway is designed and manufactured by LMI based in Mulsanne near Le Mans in France by a team of experts having gathered their know-how during more than 30 years in car racing, type approval, design of electrical vehicle and autonomous vehicle.",Booth E59-014,"(Thu, Fri)",2019,15-30,Mobility/Transportation,Mulsanne,7M,,Going to market,"['""Funding""']",startup,"Energy, Industry, Logistics & Supply Chain, Mobility & Smart City",https://www.linkedin.com/showcase/beeway-lmi-en/,
superconnectr,https://vivatechnology.com/partners/superconnectr,France,"All-in-one platform to empower your Community !
Make your Brand shine with your branded mobile app, web app and data marketing to empower your community with your feed, contents, events, instant messaging, webinars, sub-communities, directory and website.

Brands trust SuperConnect: MEDEF, CPME, LDLC Asvel Féminin, Club CIC International, Professional Women's Network, TOP DRH, Les Premières, Voisin, Lyon Place Financière, Win Or Win...",Booth K04-001,"(Wed, Thu, Fri, Sat)",2018,1-5,Software Development/Cloud services,Lyon,250000,,Growth \u0026 Scale,"['""None""']",startup,"Marketing & Advertising, HR & Future of Work, B2B Services",https://www.linkedin.com/company/superconnectr/,
rime-bioinformatics,https://vivatechnology.com/partners/rime-bioinformatics,France,"Bacteriophages or phages are viruses that can kill bacteria and represent a promising alternative to antibiotics.

Rime Bioinformatics' mission is to develop high-performance bioinformatics analyzes to enable the safe use of phage therapy, for patients and the environment. 

We provide our clients with clear, precise, and detailed analysis of the genome of their phages of interest, allowing them to save money on their go-to-market process.

We are also developing analysis methods to assess the quality of phages and bacteria produced by companies and laboratories implementing alternatives to antibiotics and already having a product to sell on the veterinary or human health market.

We focus our R&D efforts on the development of long-term solutions to help develop effective phage-based remedies to replace current antibiotics.",Booth G50-008,(Wed),2021,1-5,Health,Palaiseau,,,Going to market,"['""Talents', 'Funding""']",startup,"Healthcare & Wellness, Food & Agriculture, DeepTech",https://www.linkedin.com/company/rime-bioinformatics/,
themes,https://vivatechnology.com/partners/themes,,,,,,,,,,,,,text/javascript,,,
fosina,https://vivatechnology.com/partners/fosina,France,"FOSINA creates safer, smarter, and more sustainable monitoring solutions across many sectors including railroads, energy transition (power cables, CCUS, geothermal), structural health monitoring, and perimeter security. Our cutting-edge fiber optic sensing technology, coupled with real-time data processing and AI-powered automation, enables advanced detection and protection for structures, the environment, and operations.",Booth J33-005,"(Wed, Thu, Fri, Sat)",,,Mobility/Transportation,Nanterre,,,Growth \u0026 Scale,"['""None""']",startup,"Mobility & Smart City, Energy, Artificial Intelligence",https://www.linkedin.com/company/fosina,
datapred,https://vivatechnology.com/partners/datapred,France,"Datapred is a B2B software company. 

Our AI engine helps asset managers and buyers of commodities and energy to test and optimize their investment and hedging strategies, in particular by suggesting optimal transactions in terms of timing, explainability, and compliance with constraints linked to risk management, ESG criteria, governance or regulation.",Booth B56-014,(Wed),,,Software Development/Cloud services,Vincennes,,https://www.datapred.com/,Growth \u0026 Scale,"['""Funding', 'Talents""']",startup,"Artificial Intelligence, Energy, Fintech, Insurance & Legal",https://www.linkedin.com/company/10167045/admin/feed/posts/,
wondershare,https://vivatechnology.com/partners/wondershare,Hong Kong,"Established in 2003, Wondershare is a world-renowned software development company and a trailblazer in the realm of digital creativity. With a vast user base spanning the globe, we provide user-friendly software solutions to millions of individuals. Our product range is tailored to excel in PDF Solutions, Diagreams & Graphics, Video Creativity and Utilities. Wondershare is dedicated to empowering businesses to maximize their value, enhance efficiency, and reduce costs.",hall1 Booth M14,,,,Software Development/Cloud services,,,,,,partner,"B2B Services, Artificial Intelligence, Energy, Education",https://www.linkedin.com/company/wondershare-technology,https://www.instagram.com/wondershare/
flaxib,https://vivatechnology.com/partners/flaxib,Reunion,"Flaxib offers a SaaS solution, of vehicule scheduling, allowing the drawing and optimization of school transport networks.
Our vehicule scheduler for the scholar transportation allow the design from the students base and the infrastructure of the network into the export of service sheet and the GTFS corresponding.
We are addressing the mobility organization authorities and the design offices responsible for designing school transport networks.",Booth H49-006,"(Wed, Thu, Fri, Sat)",2022,1-5,Mobility/Transportation,Trois Bassins,,www.flaxib.re,Going to market,"['""Talents', 'None""']",startup,"Mobility & Smart City, Artificial Intelligence, B2B Services",https://www.linkedin.com/company/flaxib,
vrtu,https://vivatechnology.com/partners/vrtu,France,"At V.RTU, our mission is to radically reshape human-machine interaction. We're bringing a new sensory dimension into the digital world: the sense of touch.
 Our development focuses on advanced haptic interfaces utilizing neuroscience insights and artificial intelligence. These interfaces aim to realistically simulate tactile and proprioceptive sensations, enhancing immersion in areas like online commerce, technical, medical, and industrial training, as well as gaming.
We are currently developing two products:  
HAPTIFY is an online tool for creators of 3D and 2D applications. Our proprietary AI model enables the design and integration of haptic feedback across various development platforms, including Android, iOS, Unity, Unreal, and the Web.
V.RTACT is a collection of bracelets and rings that enable users to feel textures, weight, and force feedback in virtual and mixed reality, offering an unprecedented haptic experience through neuroscientifically based vibrotactile stimulation.",Booth B30-011,"(Wed, Thu, Fri)",,,Other,marseille,,,Going to market,"['""Funding""']",startup,"XR & Metaverse, DeepTech",https://www.linkedin.com/company/v-rtu/?lipi=urn%3Ali%3Apage%3Ad_flagship3_company_admin%3BIv0vXC8kSFWQyfulB0DxPA%3D%3D,
effa,https://vivatechnology.com/partners/effa,United States of America,"Effa created the world's first technology, allowing to replace plastic disposable products with their unique sugarcane paper-based goods.",Booth J40-001,"(Wed, Thu, Fri, Sat)",2021,5-15,Consumer goods/Retail/E-commerce,Mountain View,"650,000",https://www.effa.one/,Growth \u0026 Scale,"['""Funding', 'Talents""']",startup,"Climate Tech, Healthcare & Wellness, Luxury, Fashion & Cosmetics",https://www.linkedin.com/company/11358962,@effa.one
jobbiz,https://vivatechnology.com/partners/jobbiz,France,"Jobbiz Intérim est une agence d’intérim nouvelle génération qui met en relation plus d’un millier de talents qui proposent leurs compétences à des entreprises situées dans plusieurs départements d’Outre-Mer.  Jobbiz Intérim met le digital au service de l’intérim en proposant une plateforme intuitive qui bouscule les pratiques du recrutement et rend le recours à l’intérim plus humain, dynamique et innovant pour les entreprises et les demandeurs d’emploi.",Booth B23-022,(Sat),2020,5-15,HR/Training/Education,Fort-de-France,200000,https://www.jobbiz.fr/,Growth \u0026 Scale,"['""Funding""']",startup,HR & Future of Work,https://www.linkedin.com/company/jobbiz-interim/?viewAsMember=true,
nalios,https://vivatechnology.com/partners/nalios,Belgium,"Nalios, fondée en 2020 par Benjamin Gautier et Christophe Ricevuto, est un partenaire Gold d'Odoo spécialisé dans l'implémentation du logiciel de gestion. Basée en Belgique, l'entreprise possède des bureaux en Wallonie, en Flandres, ainsi qu'à Lille en France et Lausanne en Suisse, lui permettant d'étendre ses services à travers l'Europe. Les fondateurs, formés chez Odoo, ont développé une expertise reconnue, concentrant leurs efforts sur la réussite des projets via une approche standardisée pour minimiser risques et coûts. Nalios développe également des sites web Odoo, offrant design, formation, et SEO. Parmi ses clients, on trouve des acteurs de divers secteurs comme le retail, les services sur site, et la production alimentaire. Avec des certifications Odoo de V17 à V8, Nalios prouve son engagement envers l'excellence technique et la satisfaction client.",Booth C27-016,"(Wed, Thu, Fri, Sat)",,30-50,Information technologies,Namur,,,Growth \u0026 Scale,"['""Talents', 'Funding""']",startup,"Retail & E-commerce, Marketing & Advertising, Data Management & CRM",https://www.linkedin.com/company/nalios-international/mycompany/,https://www.instagram.com/naliosconsulting/
greenant,https://vivatechnology.com/partners/greenant,Netherlands,"Founded in 2021, GreenAnt has been focusing on developing tools for climate resilience and has operated in Thailand and Vietnam. In 2023, we merged with SarVision, a Wageningen University’s data analysis spin-off, to become a leader in analyzing radar satellite data to provide climate adaptation tools and services. 

We have developed unique intellectual property for analyzing radar data. Desidera, our flagship product, offers data-backed services to help manage climate risks. This includes predicting harvest failures, assessing flood risks, and estimating damages promptly after such events. Our approach combines artificial intelligence with extensive satellite data, offering a powerful tool for insurers, farmers, and traders to collaboratively tackle climate risks.",Booth C17-002,"(Wed, Thu, Fri, Sat)",,,Information technologies,The Hague,,,Going to market,"['""Funding', 'Talents""']",startup,"Artificial Intelligence, Climate Tech, GovTech & Public Sector",,
captop-srl,https://vivatechnology.com/partners/captop-srl,Italy,"CapTop was founded in 2017 as innovative startup and spinoff of the University of Naples Federico II.After the first years dedicated mainly to research activities, CapTop has focused its work on industrialization and commercialization of products.Currently CapTop offers a Standard Product Line and Customized Solutions for High Power Energy Storage, electric mobility and “Hard to Abate” application like in marine or aerospace industry using the most advanced and appropriate storage systems techniques based on: LFP, LTO, Supercap, Hydrogen, Hybrid Systems. The team includes highly qualified experts, scientists, as well as two industrial partners, OCIMA and SPSCAP Europe, relevant players in Italy and worldwide in the market of industrial automation and SCs.CapTop carries out research on the three SC sectors: 1) new and extremely performing graphene-based electrodes; 2) new active balancing card; 3) new electrolytes with a patented solvent made from bio-waste, eco-sustainable, and cheap.",Booth C11-044,"(Wed, Thu, Fri, Sat)",2017,5-15,Energy,Caivano (NA),,,Growth \u0026 Scale,"['""Funding""']",startup,"Energy, Mobility & Smart City, Climate Tech",https://www.linkedin.com/company/captop-s-r-l,@captopitalia
voltr,https://vivatechnology.com/partners/voltr,France,VoltR is a French manufacturer specialized in second-life lithium batteries. We produce batteries with performance equivalent to new ones thanks to a rigorous and value-regenerating industrial process. We maximize batteries value by reusing the cells in a second-life application suited to their residual performance. VoltR wants to capitalize on the European supply of end-of-life batteries through the creation of circular economy as sustainable as possible.,Booth C44-002,"(Wed, Thu)",,,Industry,Verrières-en-Anjou,,https://www.voltr.tech/,Growth \u0026 Scale,"['""Funding', 'Talents""']",startup,"Industry, Logistics & Supply Chain, Climate Tech, Energy",https://www.linkedin.com/company/voltr,
mappedin-inc,https://vivatechnology.com/partners/mappedin-inc,Canada,"Mappedin is a global leader in indoor mapping and spatial data management. Our innovative solutions power billions of square feet of indoor space and guide millions of people. We enhance indoor experiences, optimize indoor spaces, and strengthen public safety through advanced mapping technologies. We're making indoor maps as commonplace as our outdoor counterparts and we are committed to creating accessible and user-friendly mapping tools for automated paper-to-digital floor plan conversion. Mappedin offers revolutionary ways to enable mapmakers to effortlessly map and share their indoor spaces.",Booth S12-014,"(Thu, Fri)",2012,50-100,Information technologies,Waterloo,,,Growth \u0026 Scale,"['""Funding', 'Talents""']",startup,"Mobility & Smart City, Data Management & CRM, Artificial Intelligence",https://ca.linkedin.com/company/mappedin,@mappedinatwork
voiceme-srl,https://vivatechnology.com/partners/voiceme-srl,Italy,"VOICEME is a patented SaaS platform of Secure Customer Authentication (SCA) based on voice recognition and five other authentication factors, which let you login, process payments, sign legally binding documents and access physical places with your VOICE.
With a disruptive edge, VOICEME condenses onboarding and authentication to 3 seconds, setting a new industry standard. Its omnichannel capability and aggregation of authentication factors fortify security, defending against deepfakes and fraudulent attempts. Collecting user biometry enables seamless, secure connections. VOICEME stands as an innovative, original, and resilient solution in digital authentication.
Our target audience comprises corporate clients with extensive customer bases and frequent interactions, necessitating accurate customer identification across channels. Specifically, we cater to verticals including Financial Services, Insurance, Telcos & Utilities, iGaming, Casinos & Betting Shops.",Booth C11-015,"(Wed, Thu, Fri, Sat)",2021,1-5,Cybersecurity/Defense,Milano,1000000,,Going to market,"['""Funding""']",startup,"Artificial Intelligence, B2B Services, Cybersecurity",https://www.linkedin.com/company/74568360/admin/feed/posts/,
gnacompany,https://vivatechnology.com/partners/gnacompany,South Korea,"Founded in 2020, GNA Company works with talented individuals to provide the best value for mobile gamers around the world. Our product, Playio, is a Mobile Gaming Rewards App & Loyalty Platform that recognizes users’ hard work and rewards them for their play time through prizes and e-gift cards.

Currently available for Android OS on the Google Play Store. Check out our website (https://playio.co) for more details!

- IG: @ playio_global
- YouTube: @ playio_official
- Medium: https://medium.com/playioteam

Playio compiles valuable user data to recommend customized games, campaigns, and relevant ads, using algorithms and an analytical process to bridge the gap between game developers and users.

#Be a Game Changer
#Embrace the Game",Booth H47-013,"(Wed, Thu, Fri, Sat)",2020,30-50,Marketing/Advertising/Communication,Seoul,,,Stable Business,"['""None""']",startup,"Marketing & Advertising, Gaming & esports, Growth & Investment",https://www.linkedin.com/company/gna-company-playio/,https://www.instagram.com/playio_official/?hl=kr
tesla-france,https://vivatechnology.com/partners/tesla-france,France,"Tesla is at the forefront of electric vehicle and clean energy solutions, aiming to accelerate the world's transition to sustainable energy.
Founded in 2003, Tesla designs and manufactures electric cars, battery energy storage from home to grid-scale, solar panels, and solar roof tiles.
The company's innovative approach extends to its Autopilot advanced safety and convenience features and its global charging network that radically improves the convenience of operating electric vehicles.
Tesla continues to redefine the possibilities of sustainable transportation and energy production to create a more sustainable future.",hall2 Booth R16,,,,Energy,,,,,,partner,"Artificial Intelligence, Energy, Gaming & esports, Mobility & Smart City",https://www.linkedin.com/company/tesla-motors,https://www.instagram.com/teslamotors
bolt-insight,https://vivatechnology.com/partners/bolt-insight,Turkey,"BoltChatAI: World’s First AI-Powered Conversational Research Platform delivering Qual at Scale.
By harnessing the power of conversational AI, BoltChatAI offers an unprecedented blend of qualitative depth and quantitative scalability in consumer research. Our AI moderator is adept at conducting high-quality, human-like conversations in native languages, ensuring that discussions are not only rich and relevant but also incredibly insightful.
Key Features and Benefits of BoltChatAI include:
Automated AI-Human Chats: Engage with genuine individuals across the globe and receive actionable reports within 24 hours.
Depth of Qual with Scale of Quant: Interview hundreds in local languages in less than a day, show them videos and concepts, going beyond traditional surveys.
Smart Probing: High engagement conversations with AI moderation to ensure quality and relevance, unlike static surveys.
AI-Generated Reports: Deep analysis to uncover key themes and insights, delivered swiftly to drive you",Booth L44-012,"(Wed, Fri)",,,Marketing/Advertising/Communication,Istanbul,,,Growth \u0026 Scale,"['""Funding""']",startup,"Artificial Intelligence, Marketing & Advertising, B2B Services",https://www.linkedin.com/company/11745006/,
iubenda-srl,https://vivatechnology.com/partners/iubenda-srl,Italy,"iubenda has been a pioneer in global privacy compliance for over a decade. We’ve brought together reliability, global expertise, and innovative technology to build a 360° compliance solution packed into one easy-to-manage platform.

A comprehensive database of clauses crafted by our international legal team helps empower digital compliance for more than 100,000 customers all across the globe. From small business to large-scale enterprise, anyone can benefit from tools like iubenda’s Policy Generator, Privacy Controls, Whistleblowing Management, Consent Database, and more. Meet us to explore how we can help boost your business’s compliance, user trust and legal security.",Booth C11-025,"(Wed, Thu, Fri, Sat)",2013,100,Software Development/Cloud services,Milano,,,Stable Business,"['""None""']",startup,"Cybersecurity, B2B Services",https://www.linkedin.com/company/iubenda/mycompany/,@iubenda
onyxia,https://vivatechnology.com/partners/onyxia,France,"The problem we're solving: Large organizations, including governments, manage sensitive data and are constrained by sovereignty concerns that prevent the use of major cloud services like AWS. How can these organizations create a suitable data science environment for their teams?

Onyxia Datalab is an open source software by Insee that offers a solution by enabling the creation of a data science platform on a Kubernetes cluster. At its core, Onyxia is a Helm chart launcher with many data-oriented features like S3 integration.

French students, teachers, or researchers also have access to a public instance loaded with significant computing resources, including Nvidia GPUs, available at https://datalab.sspcloud.fr and is hosted at the Insee headquarters in Paris.  

This initiative is by the French public service, aimed at supporting the data science community without commercial intent.",Booth J59-007,"(Wed, Thu, Fri, Sat)",,,Software Development/Cloud services,Montrouge,,,Growth \u0026 Scale,"['""None""']",startup,"GovTech & Public Sector, Artificial Intelligence, Cloud & Infrastructure",,
c12,https://vivatechnology.com/partners/c12,France,"C12 is on a mission to build reliable quantum computers to speed up highly complex computing tasks, thanks to a unique technology developed at CNRS and the Physics Laboratory of the Ecole Normale Supérieure in Paris. In January 2020, twin brothers Matthieu and Pierre Desjardins officially launched the company. Since then, the company has grown to a senior & international 40-people team, cumulating years of experience in quantum electronics.
C12 is convinced that only a materials science breakthrough will enable large-scale quantum computers. Unlike other quantum computers, we use carbon nanotubes as the fundamental building block of our processor. By combining the power of an ultra-pure material with an easy-to-manufacture semiconductor device, we are building the next generation of quantum computers, designed to provide unparalleled fidelity, connectivity, and scalability.",Booth L12-001,"(Wed, Thu)",2020,30-50,Information technologies,Paris,,,Going to market,"['""Talents""']",startup,DeepTech,https://fr.linkedin.com/company/c12-quantum-electronics,
kokoro-gmbh,https://vivatechnology.com/partners/kokoro-gmbh,Germany,"Kokoro, founded in 2018, wants to transform team performance and become Europe's leading platform for team development, offering investors a unique opportunity to tap into the rapidly growing market for innovative leadership solutions.
Today Kokoro is a data-informed solution for team development. With Kokoro, team leads get the tools and training to build essential leadership and team development skills, while applying them immediately to their real-life context.",Booth D15-033,(Fri),2018,5-15,HR/Training/Education,Kleinmachnow,320000,https://bekokoro.com/,Growth \u0026 Scale,"['""Funding""']",startup,"HR & Future of Work, B2B Services",https://www.linkedin.com/company/kokoro-gmbh/,https://www.instagram.com/bekokoronow/
newired,https://vivatechnology.com/partners/newired,Italy,"Newired is a digital adoption platform (DAP) that revolutionizes user experience within any web-based applications. It seamlessly integrates with various software platforms, providing intuitive, in-app guidance to the users. By offering step-by-step guidance directly embedded within the application interface, Newired eliminates the need for traditional tutorials, manuals, or support centers. Its innovative overlay technology acts as a digital guide, simplifying complex processes and accelerating user proficiency. Newired is widely used by enterprises globally for onboarding, training new and existing users on new processes, significantly enhancing productivity and user satisfaction. Moreover, Newired ensures process adherence and safety by guiding users through correct procedures, minimizing errors, and ensuring compliance with organizational standards. Newired empowers organizations to streamline digital adoption, boost efficiency with time savings and maximizing overall productivity.",Booth D39-016,"(Wed, Thu, Fri, Sat)",2017,15-30,Software Development/Cloud services,Turin,,,Growth \u0026 Scale,"['""Funding', 'Talents""']",startup,"GovTech & Public Sector, Fintech, Insurance & Legal, Artificial Intelligence",https://www.linkedin.com/company/newired-srl/,
citadel-ai-inc,https://vivatechnology.com/partners/citadel-ai-inc,Japan,"Citadel AI stands at the forefront of trustworthy AI technology, dedicated to ensuring the safety and reliability of AI systems. Citadel Lens for automated reliability testing during the AI development stage, and Citadel Radar for automated monitoring during the deployment stage.

With the proliferation of AI across industries and growing awareness in AI regulations such as forthcoming EU AI Act, ensuring the responsible use of AI has become paramount. Citadel AI helps companies mitigate risks associated with AI development and deployment, navigate regulatory frameworks, and adhere to international standards.

Our products have been adopted by BSI (British Standards Institution), a global leader in the field of international standards development and certification and PwC Consulting. In addition, leading automobile, manufacturing, banking, and healthcare organizations use our technology to ensure the safe, responsible, and ethical use of AI.",Booth K40-004,"(Wed, Thu, Fri, Sat)",2020,5-15,Software Development/Cloud services,Shibuya-ku,3.5 million,,Going to market,"['""Talents', 'Funding""']",startup,"Artificial Intelligence, B2B Services, DeepTech",,
hawaitech,https://vivatechnology.com/partners/hawaitech,France,"HawAI.tech (Hardware for AI)  develops hardware accelerators increasing the capabilities of probabilistic artificial intelligence to enable a trustworthy, explainable and frugal AI. Our hardware architecture is optimized for edge computing use-cases to increase the energy efficiency and computation speed close to the sensor. It is currently implemented on a FPGA (programmable card for edge computing) and will be available as a custom chip in 2026.

Our AI models are used for tasks such as prediction and decision making in different market sectors. One is industry 4.0 with predictive maintenance and process monitoring. Second is mission critical systems such as in automotive, aeronautics, spacial and military applications. Some of our customers are using our technology for predictive maintenance in logistic centers and others decision making for helicopter pilots.

Our customers like to have an efficient explainable and frugal AI at the edge embedded on their device.",Booth D33-015,"(Wed, Thu)",,,Information technologies,Grenoble,,,Growth \u0026 Scale,"['""Funding""']",startup,"Industry, Logistics & Supply Chain, Space & Aeronautics, Robotics",https://www.linkedin.com/company/hawai-tech,
livingpackets,https://vivatechnology.com/partners/livingpackets,France,"Your smart, secure and reusable shipments. The experience of smartpackaging and its services for your internal logistics flows or to your customers, both professional and private. At LivingPackets we aim to provide a sereine logistics to the whole ecosystem. We work hard on offering solutions for tomorrow’s logistics biggest challenges : Global warming, Inefficiency, Unsafety & Customer dissatisfaction.",hall1 Booth N50,,,,Mobility/Transportation,,,,,,,"Industry, Logistics & Supply Chain, DeepTech, Artificial Intelligence, B2B Services",https://www.linkedin.com/company/11026499/,@livingpackets_thebox
mobicrawl,https://vivatechnology.com/partners/mobicrawl,France,"Mobicrawl is a Saas platform that permitt to control operating system and security patches of mobile devices, over the air of a large fleet worldwide.",Booth C44-014,"(Fri, Sat)",2023,5-15,Cybersecurity/Defense,paris,,https://www.mobicrawl.com,Going to market,"['""Talents', 'Funding""']",startup,"Cybersecurity, DeepTech, Cloud & Infrastructure",,
enchanted-tools,https://vivatechnology.com/partners/enchanted-tools,France,"Enchanted Tools has created The Mirokaï, logistics robots designed for social environments: assistants that move objects and are designed to be in contact with end-users. Mirokaï are prototypes characterized by radical approaches: Anime-inspired design, standardized handles and a rolling globe that allows free mobility. In hospitals they will be able to carry equipment, letting nurses provide enhanced care to patients.",hall2 Booth P03,,,,Industry,,,,,,partner,"Artificial Intelligence, Robotics",https://www.linkedin.com/company/enchantedtools/,https://www.instagram.com/enchanted.tools/
